PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
907,Premier Family Friendly - 1mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
908,Promo - Select - 1mo - (NO MRF) - 0.99,0.99,Discount,Select,Monthly,1 Month/$.99,N,01/01/14 00:00,04/01/15 00:00
909,Courtesy - Select - 1mo (Legacy MRF),15.99,Full Price,Select,Monthly,Select Monthly,N,14/02/18 00:00,12/12/99 00:00
910,Charter - 1mo - wActv,14.99,Full Price,Select,Monthly,Other,N,01/01/14 00:00,04/01/15 00:00
911,Travel-Link - 36mo w/5mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
912,Courtesy - All Access - 6mo - 1X,18.990000000000002,Full Price,All Access,Semi Annual,All Access Semi,N,01/01/14 00:00,04/01/15 00:00
913,Promo - All Access - 12mo - 192.00 - wETF (6mo50) - AMZ DOT-G3,16.0,Discount,All Access,Annual,Promo - All Access - 12mo - 192.00 - wETF (6mo50) - AMZ DOT-G3,Y,01/10/19 00:00,12/12/99 00:00
914,Promo - Travel-Link - 3mo - (Half-off),6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
915,Fixed Demo - Select - 1mo,14.99,Full Price,Select,Monthly,Select Monthly,TBD,05/01/15 00:00,30/06/15 00:00
916,Sponsored - OEM Trial - Select - 3mo - 19.43,0.0,Full Price,Select,Quarterly,Select Quarterly,N,01/01/14 00:00,04/01/15 00:00
917,Commercial Family - 12mo w/1mo Free - (D2B) - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
918,Promo - Premier Family Friendly - 6mo w/3mo Free - (Half-Off) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
919,Introductory - Select - 12mo w/1mo Savings - wHW Actv - wETF,14.99,Full Price,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
920,Promo - Premier Family Friendly - 12mo w/3mo Free (3FOR1) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
921,Promo - Mostly Music - 36mo,10.99,Full Price,Mostly Music,Three Year,Mostly Music Three Year,Y,01/01/14 00:00,04/01/15 00:00
922,Select Family Friendly - 3mo - wHW Actv - wETF,13.99,Full Price,Select,Quarterly,Select Quarterly,TBD,01/01/14 00:00,04/01/15 00:00
923,3 months free service w/ Monthly Service (OEM),6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
924,Select Family Friendly - 36mo - wActv,15.99,Full Price,Select,Three Year,Select 3 Year,Y,27/04/16 00:00,12/12/99 00:00
925,Travel-Link - 12mo w/1mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
926,Courtesy - Select - 36mo w/5mo Savings - 1X,13.49,Full Price,Select,Three Year,Select 3 Year,Y,05/01/15 00:00,30/06/15 00:00
